dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),algorithm,n_components,n_iter,n_oversamples,power_iteration_normalizer
dataset_name,RF,LCB,0,241.16527938842773,0.3839005503157989,0.38360353687983817,0.0005833931122207573,randomized,100,70,10,LU
dataset_name,RF,LCB,1,105.75835490226746,0.38292115874288785,0.38292115874288785,0.0,arpack,100,70,70,none
dataset_name,RF,LCB,2,132.28808689117432,0.38292115874288785,0.38292115874288785,0.0,arpack,100,70,50,LU
dataset_name,RF,LCB,3,67.51582860946655,0.3676582515266924,0.3674371054193705,0.0006729492549885443,randomized,70,10,70,auto
dataset_name,RF,LCB,4,54.486546993255615,0.4059247997353381,0.4093096944296907,0.009197735017659575,randomized,70,50,70,OR
dataset_name,RF,LCB,5,74.02301931381226,0.36722912286235326,0.3672490409268644,0.00020688755353771794,randomized,70,50,10,LU
dataset_name,RF,LCB,6,48.78828692436218,0.3671895380976279,0.3671895380976279,0.0,arpack,70,50,70,OR
dataset_name,RF,LCB,7,136.88449931144714,0.32492565529270445,0.32397117187917834,0.004019648007178424,randomized,100,50,70,none
dataset_name,RF,LCB,8,57.84736227989197,0.38292115874288785,0.38292115874288785,0.0,arpack,100,50,10,auto
dataset_name,RF,LCB,9,129.9259386062622,0.38292115874288785,0.38292115874288785,0.0,randomized,100,50,70,LU
dataset_name,RF,LCB,10,73.8845157623291,0.43581257944504764,0.4377208681081168,0.0046182914620940185,randomized,100,70,10,OR
dataset_name,RF,LCB,11,69.76799321174622,0.41684417109142413,0.42137970780572126,0.008169292624512357,randomized,100,70,70,OR
dataset_name,RF,LCB,12,71.18108248710632,0.4239780872373543,0.42854470419484836,0.009377597071325728,randomized,100,10,50,OR
dataset_name,RF,LCB,13,70.65245842933655,0.41932116837922123,0.4217529309315567,0.004703369531698953,randomized,100,50,50,OR
dataset_name,RF,LCB,14,70.84256434440613,0.4078618848230006,0.41279767839351467,0.00938149557241235,randomized,100,50,70,OR
dataset_name,RF,LCB,15,75.29446387290955,0.3826177610194198,0.3826177610194198,0.0,arpack,120,50,10,OR
dataset_name,RF,LCB,16,81.12776613235474,0.44150952085585665,0.4414267850156838,0.005724884833059602,randomized,120,70,10,OR
dataset_name,RF,LCB,17,80.0364408493042,0.3671895380976279,0.3671895380976279,0.0,arpack,70,70,50,OR
dataset_name,RF,LCB,18,141.1033821105957,0.3671895380976279,0.3671895380976279,0.0,arpack,70,10,70,OR
dataset_name,RF,LCB,19,149.3345935344696,0.4230631163373713,0.42695267387125757,0.012259525519659741,randomized,70,70,10,OR
dataset_name,RF,LCB,20,75.40949392318726,0.37402913744715294,0.37246274230379334,0.002105652336297546,randomized,70,10,10,none
dataset_name,RF,LCB,21,94.70124244689941,0.38292115874288785,0.38292115874288785,0.0,arpack,100,50,70,none
dataset_name,RF,LCB,22,79.03486394882202,0.3671895380976279,0.3671895380976279,0.0,arpack,70,10,50,none
dataset_name,RF,LCB,23,79.47090578079224,0.4078772283705722,0.4090573343333717,0.006626853368756855,randomized,70,70,70,OR
dataset_name,RF,LCB,24,99.77350163459778,0.4527657685182133,0.4517660765703808,0.005842638437956874,randomized,120,10,10,OR
dataset_name,RF,LCB,25,105.6038568019867,0.4430289081676388,0.44558458639205095,0.007338292308023305,randomized,120,50,10,OR
dataset_name,RF,LCB,26,114.22068548202515,0.37827606302043315,0.37858934237362274,0.0031705864064553346,randomized,120,10,10,LU
dataset_name,RF,LCB,27,91.92481875419617,0.38292115874288785,0.38292115874288785,0.0,arpack,100,10,50,LU
dataset_name,RF,LCB,28,70.94586539268494,0.38292115874288785,0.38292115874288785,0.0,arpack,100,50,50,OR
dataset_name,RF,LCB,29,453.7214937210083,0.38292115874288785,0.38292115874288785,0.0,randomized,100,50,70,LU
