,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
13,DBLP,RF,LCB,13,25.78601098060608,0.4382676414659062,0.4388338230969989,0.0030882416959005,0.0,nndsvda,20
5,DBLP,RF,LCB,5,41.22440981864929,0.4377954548080861,0.4373466217297816,0.0059303218521916,0.0,nndsvdar,20
6,DBLP,RF,LCB,6,113.886860370636,0.4013919316401791,0.4009517742469167,0.0035345078371843,0.0,nndsvda,50
11,DBLP,RF,LCB,11,97.3014326095581,0.3978796492891759,0.3975376011107562,0.0054372736813543,0.0,nndsvdar,50
26,DBLP,RF,LCB,26,231.83547949790955,0.3824677483318255,0.3826440554483136,0.0008314583956242,0.0,nndsvda,70
17,DBLP,RF,LCB,17,229.7888734340668,0.3793081198728699,0.3795926414627544,0.0012172599889102,0.0,nndsvdar,70
16,DBLP,RF,LCB,16,424.20144271850586,0.3639007389439884,0.3637185625638425,0.0045777910436616,0.0,nndsvdar,100
15,DBLP,RF,LCB,15,491.5842669010162,0.3616887241371831,0.3618534213660597,0.0037812837859961,0.0,nndsvda,100
14,DBLP,RF,LCB,14,19.284493446350098,0.2245527332276609,0.2242915381801014,0.0007380859646226,0.75,nndsvda,50
20,DBLP,RF,LCB,20,18.873415231704712,0.2242593441023805,0.2245582338025615,0.0007246132603255,0.75,nndsvda,50
10,DBLP,RF,LCB,10,20.03210949897766,0.2236313413164272,0.2236940405830645,0.0004790367845637,0.25,nndsvdar,50
24,DBLP,RF,LCB,24,10.01471495628357,0.2231246549659104,0.222413100644517,0.0029468957626107,0.25,nndsvda,20
8,DBLP,RF,LCB,8,25.222965955734253,0.2229841711345378,0.2227332335610083,0.001230149710236,0.25,nndsvda,70
3,DBLP,RF,LCB,3,19.556615591049194,0.2227773721918239,0.2224092940484418,0.0009529293293798,0.75,nndsvdar,50
19,DBLP,RF,LCB,19,40.75949597358704,0.2219806017509083,0.2225291211058062,0.0013069141492071,0.25,nndsvda,100
29,DBLP,RF,LCB,29,40.39158082008362,0.2219028779151059,0.221497944649255,0.0008983915427119,1.0,nndsvda,100
25,DBLP,RF,LCB,25,40.64564943313599,0.2216455985281264,0.2217059007452793,0.0010027227506646,0.25,nndsvda,100
18,DBLP,RF,LCB,18,40.56507587432861,0.2216079328901342,0.2215391871645282,0.0006302162620041,0.25,nndsvda,100
1,DBLP,RF,LCB,1,40.71505403518677,0.2214603633693536,0.2214304660058728,0.0009022822266585,0.5,nndsvda,100
28,DBLP,RF,LCB,28,10.17044973373413,0.2213449637438972,0.2198260168819313,0.0034981626905186,0.75,nndsvdar,20
9,DBLP,RF,LCB,9,25.105480670928955,0.2213159860153828,0.2212933085653206,0.0006353041405589,0.75,nndsvda,70
7,DBLP,RF,LCB,7,25.07786750793457,0.2203703465790782,0.2204459261928242,0.0007377985563843,0.25,nndsvdar,70
12,DBLP,RF,LCB,12,40.98375225067139,0.2202638292825189,0.2201582084321955,0.0002864863723121,0.75,nndsvdar,100
0,DBLP,RF,LCB,0,41.7883517742157,0.2197481280530843,0.2197459384564517,0.0012379367171034,0.5,nndsvdar,100
2,DBLP,RF,LCB,2,41.141950607299805,0.2196561810385244,0.2193521096746314,0.0013102371388037,1.0,nndsvdar,100
23,DBLP,RF,LCB,23,10.170475959777832,0.219579170864918,0.2197018625358561,0.0009899200824663,0.75,nndsvdar,20
21,DBLP,RF,LCB,21,41.17680215835571,0.2187143997221005,0.2187531460387225,0.000314978022786,0.75,nndsvdar,100
27,DBLP,RF,LCB,27,10.04416537284851,0.2185071488783125,0.2194718455883696,0.0024875148408691,1.0,nndsvda,20
4,DBLP,RF,LCB,4,10.017592191696169,0.218084006407033,0.217335533097337,0.0019265927513389,0.5,nndsvda,20
22,DBLP,RF,LCB,22,9.939650774002075,0.2159751252235549,0.2172223817223927,0.0027430206098823,0.75,nndsvda,20
