,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,n_iter,n_topics
7,Europarl_IT,RF,LCB,7,6.2852537631988525,0.4553180353468334,0.4517084986738451,0.0077371605272143,0.5,0.1,100,20
4,Europarl_IT,RF,LCB,4,5.565252304077148,0.4351383501026634,0.4326176964782312,0.0080911314268772,0.01,0.05,100,20
3,Europarl_IT,RF,LCB,3,5.908921718597412,0.4338845644601621,0.4336742803731276,0.0102010209324834,0.1,0.01,100,20
26,Europarl_IT,RF,LCB,26,9.882877588272097,0.421812213635801,0.4237859041177468,0.0077494846739287,0.1,0.1,100,50
0,Europarl_IT,RF,LCB,0,10.00296711921692,0.4209761723031993,0.4217539518023779,0.0047637229219269,0.1,0.05,100,50
23,Europarl_IT,RF,LCB,23,12.868618488311768,0.4193188031230268,0.4185589407973132,0.0063579962422926,0.05,0.05,100,70
8,Europarl_IT,RF,LCB,8,5.831294536590576,0.417242137890345,0.4204706407274919,0.0060520091684636,0.01,0.005,100,20
10,Europarl_IT,RF,LCB,10,6.198509216308594,0.4156659601070618,0.4168348498198936,0.0208030008673926,1.0,0.1,100,20
17,Europarl_IT,RF,LCB,17,5.97877311706543,0.414824332947506,0.4272657593768427,0.0184948753408013,0.05,0.01,100,20
6,Europarl_IT,RF,LCB,6,5.885187864303589,0.4137508809707833,0.4139054565301429,0.0090780001751625,0.05,0.005,100,20
11,Europarl_IT,RF,LCB,11,6.006629705429077,0.4104304746318429,0.4128702764728184,0.0122332624625658,0.1,0.01,100,20
21,Europarl_IT,RF,LCB,21,12.79659652709961,0.4048404209521815,0.4054115539901398,0.0034138831567718,0.1,0.05,100,70
20,Europarl_IT,RF,LCB,20,5.980119705200195,0.4010957492025251,0.4032756378460519,0.0119302155629807,0.1,0.005,100,20
24,Europarl_IT,RF,LCB,24,13.070312023162842,0.4000938764413532,0.4024698015962796,0.0074425471302358,0.1,0.1,100,70
5,Europarl_IT,RF,LCB,5,9.33275055885315,0.3934695908539179,0.3938372865396866,0.0067334920539236,0.01,0.01,100,50
13,Europarl_IT,RF,LCB,13,6.211271286010742,0.3913078963308912,0.3962007318497211,0.0161259522797052,0.5,0.01,100,20
15,Europarl_IT,RF,LCB,15,6.539463520050049,0.3845203003873369,0.3954343877230509,0.0226732666623787,1.0,0.05,100,20
29,Europarl_IT,RF,LCB,29,9.723847150802612,0.3843317268038905,0.3856978662673024,0.0128512059892187,0.05,0.005,100,50
16,Europarl_IT,RF,LCB,16,6.264942169189453,0.383064006976357,0.3806566917319749,0.0099280304781547,0.5,0.01,100,20
27,Europarl_IT,RF,LCB,27,12.946035385131836,0.3698249924051761,0.369875609988188,0.0068636944878688,0.05,0.005,100,70
22,Europarl_IT,RF,LCB,22,16.802971839904785,0.3566657448237662,0.3595412878764112,0.0055785850820329,0.1,0.1,100,100
12,Europarl_IT,RF,LCB,12,10.316458225250244,0.3551411381037673,0.3528159606302908,0.0069411219429806,0.5,0.1,100,50
1,Europarl_IT,RF,LCB,1,17.61549735069275,0.3377529016333351,0.3387635033577145,0.0040630009896407,0.1,0.005,100,100
14,Europarl_IT,RF,LCB,14,10.61772632598877,0.3365709947609664,0.3371197356468854,0.0029250464755152,1.0,0.05,100,50
18,Europarl_IT,RF,LCB,18,6.399194955825806,0.3331202593791641,0.3386317764727654,0.0136980225924895,1.0,0.005,100,20
25,Europarl_IT,RF,LCB,25,17.18163537979126,0.3262974045200068,0.327987368148715,0.0030304878313566,1.0,0.05,100,100
19,Europarl_IT,RF,LCB,19,10.753985404968262,0.3230176956443873,0.327318223704981,0.0057456836741098,0.5,0.005,100,50
9,Europarl_IT,RF,LCB,9,6.364582300186157,0.3222706909080918,0.3218851028891844,0.0138081087197186,1.0,0.001,100,20
28,Europarl_IT,RF,LCB,28,10.666831254959106,0.3136257411571057,0.3126091809506631,0.0060476588811597,0.5,0.001,100,50
2,Europarl_IT,RF,LCB,2,16.84024977684021,0.2990335309688225,0.2989780594834822,0.0058835015574022,1.0,0.1,100,100
