,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,max_iters,num_topics
10,Europarl_IT,RF,LCB,10,8.612208604812622,0.4541484256230779,0.4534599663038509,0.0070716120157878,0.5,0.1,100,100
2,Europarl_IT,RF,LCB,2,8.687869548797607,0.4490286525335009,0.4418417714737147,0.0146111202706277,1.0,0.1,100,100
4,Europarl_IT,RF,LCB,4,3.1416945457458496,0.4207184923242439,0.4255431346646268,0.0125988141607937,0.01,0.05,100,20
26,Europarl_IT,RF,LCB,26,6.450511693954468,0.4170218728315716,0.4192436247212449,0.0066978945638537,1.0,0.1,100,70
16,Europarl_IT,RF,LCB,16,8.721686601638794,0.4024898770893004,0.3997673693327171,0.00480087357413,1.0,0.05,100,100
12,Europarl_IT,RF,LCB,12,5.057284116744995,0.4024781538441324,0.3951031417802438,0.0150624374134553,0.5,0.1,100,50
9,Europarl_IT,RF,LCB,9,8.763505935668945,0.3970812989450287,0.3951658476586439,0.0068355128003334,1.0,0.05,100,100
25,Europarl_IT,RF,LCB,25,8.476818084716797,0.3968636272808155,0.3942678742325722,0.0099546923485616,0.01,0.1,100,100
8,Europarl_IT,RF,LCB,8,10.09170389175415,0.3952399617924683,0.3956400906411638,0.0046998292526377,0.5,0.001,100,100
21,Europarl_IT,RF,LCB,21,10.200872898101808,0.389085672585598,0.3945239872311687,0.0087502677432976,0.5,0.001,100,100
20,Europarl_IT,RF,LCB,20,4.964721918106079,0.3865472199252794,0.3867551521854716,0.0047793116489219,0.01,0.05,100,50
27,Europarl_IT,RF,LCB,27,6.201753854751587,0.3852555959063165,0.3822794721517758,0.0074428377437267,0.01,0.1,100,70
0,Europarl_IT,RF,LCB,0,5.163787603378296,0.3849383281930493,0.3860394875813903,0.0049803052658701,0.1,0.05,100,50
3,Europarl_IT,RF,LCB,3,3.243814706802368,0.3737274160551777,0.3682729525357276,0.0108160917401027,0.1,0.01,100,20
6,Europarl_IT,RF,LCB,6,3.212149381637573,0.3723721001916234,0.372669334191631,0.0128806699575673,0.05,0.005,100,20
11,Europarl_IT,RF,LCB,11,3.0930981636047363,0.371606503658904,0.3716973423138747,0.0054200546437794,0.1,0.01,100,20
14,Europarl_IT,RF,LCB,14,5.28373908996582,0.3617708696116904,0.3651930909934548,0.0063245519249424,1.0,0.05,100,50
19,Europarl_IT,RF,LCB,19,5.222694873809815,0.3583278240075574,0.3582709801929581,0.0045195453934806,0.01,0.01,100,50
5,Europarl_IT,RF,LCB,5,5.409744739532471,0.3566669694518676,0.3562202541433288,0.0066381272444555,0.01,0.01,100,50
15,Europarl_IT,RF,LCB,15,5.30209231376648,0.3531970636376415,0.3542745681783669,0.0070791454766543,0.05,0.01,100,50
22,Europarl_IT,RF,LCB,22,9.699274778366089,0.3491782122809334,0.3530346297277572,0.0059247484142843,1.0,0.01,100,100
13,Europarl_IT,RF,LCB,13,3.1760172843933105,0.3464464214500028,0.3540756680713323,0.0121104172252763,0.5,0.01,100,20
24,Europarl_IT,RF,LCB,24,5.552754640579224,0.3414613954180882,0.3389673774517955,0.0091304761219779,0.01,0.005,100,50
29,Europarl_IT,RF,LCB,29,14.4228515625,0.3326010033664991,0.3332081294719555,0.0068943866589301,0.05,0.005,100,50
1,Europarl_IT,RF,LCB,1,9.84180760383606,0.3266691459162585,0.3256661560230175,0.0033144488475859,0.1,0.005,100,100
28,Europarl_IT,RF,LCB,28,5.834012031555176,0.3236254455925694,0.327280935373215,0.0091654351464753,0.5,0.001,100,50
23,Europarl_IT,RF,LCB,23,7.117679119110107,0.3231576823766283,0.3245622928274457,0.0038279758015446,0.01,0.001,100,70
17,Europarl_IT,RF,LCB,17,7.098704099655151,0.32291527941881,0.3235664302717386,0.0065755222844278,0.5,0.005,100,70
7,Europarl_IT,RF,LCB,7,7.079839468002319,0.3177962695461985,0.3172738384745366,0.0043647833126567,0.5,0.005,100,70
18,Europarl_IT,RF,LCB,18,5.685051441192627,0.3153971658518263,0.3166421044467892,0.0074879415434434,1.0,0.005,100,50
