,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,n_iter,n_topics
29,dataset_name,RF,LCB,29,98.58946418762208,0.611253254118727,0.611253254118727,0.0,0.5,0.1,100,50
9,dataset_name,RF,LCB,9,306.7896077632904,0.5991635296550687,0.5991635296550687,0.0,1.0,0.05,100,120
13,dataset_name,RF,LCB,13,234.00677108764648,0.5955110294042989,0.5955110294042989,0.0,0.1,0.05,100,120
14,dataset_name,RF,LCB,14,254.75114393234253,0.5933081001282239,0.5933081001282239,0.0,0.5,0.05,100,120
21,dataset_name,RF,LCB,21,195.7019731998444,0.5920901793767196,0.5920901793767196,0.0,0.1,0.05,100,100
28,dataset_name,RF,LCB,28,185.54175925254825,0.5895962622356994,0.5895962622356994,0.0,0.05,0.1,100,100
11,dataset_name,RF,LCB,11,227.91767144203183,0.5882591221020774,0.5882591221020774,0.0,1.0,0.05,100,100
5,dataset_name,RF,LCB,5,742.3368394374847,0.5872012298773707,0.5872012298773707,0.0,0.01,0.01,100,100
16,dataset_name,RF,LCB,16,336.91843366622925,0.5866455254906491,0.5866455254906491,0.0,0.5,0.05,100,150
12,dataset_name,RF,LCB,12,224.3915593624115,0.5861225737676786,0.5861225737676786,0.0,0.01,0.05,100,120
20,dataset_name,RF,LCB,20,129.60614848136902,0.5833509606728882,0.5833509606728882,0.0,0.1,0.1,100,70
0,dataset_name,RF,LCB,0,237.28968954086304,0.5804915714853459,0.5804915714853459,0.0,0.1,0.05,100,70
23,dataset_name,RF,LCB,23,254.80937099456787,0.5785180002795561,0.5785180002795561,0.0,0.05,0.01,100,120
4,dataset_name,RF,LCB,4,94.06413292884828,0.5771456632598946,0.5771456632598946,0.0,0.01,0.05,100,50
10,dataset_name,RF,LCB,10,159.8837068080902,0.5763413464752559,0.5763413464752559,0.0,1.0,0.01,100,70
26,dataset_name,RF,LCB,26,188.0139951705933,0.5734729320104411,0.5734729320104411,0.0,0.01,0.05,100,100
22,dataset_name,RF,LCB,22,356.5770556926728,0.5697789454399134,0.5697789454399134,0.0,1.0,0.05,100,150
25,dataset_name,RF,LCB,25,318.8740646839142,0.5669925897038877,0.5669925897038877,0.0,0.01,0.01,100,150
15,dataset_name,RF,LCB,15,318.4359107017517,0.5669925897038877,0.5669925897038877,0.0,0.01,0.01,100,150
3,dataset_name,RF,LCB,3,332.45103883743286,0.5635288034517815,0.5635288034517815,0.0,0.1,0.01,100,70
17,dataset_name,RF,LCB,17,178.66027283668518,0.5549421227156481,0.5549421227156481,0.0,0.01,0.1,100,100
1,dataset_name,RF,LCB,1,863.0519151687622,0.5499474686603885,0.5499474686603885,0.0,0.1,0.005,100,150
27,dataset_name,RF,LCB,27,352.72209215164185,0.5499474686603885,0.5499474686603885,0.0,0.1,0.005,100,150
18,dataset_name,RF,LCB,18,388.5340995788574,0.5454767198430134,0.5454767198430134,0.0,1.0,0.01,100,150
24,dataset_name,RF,LCB,24,300.2303602695465,0.5445748088245416,0.5445748088245416,0.0,0.5,0.005,100,120
7,dataset_name,RF,LCB,7,1351.546659708023,0.539999359508048,0.539999359508048,0.0,0.5,0.005,100,100
2,dataset_name,RF,LCB,2,1203.4182481765747,0.5396762573733811,0.5396762573733811,0.0,1.0,0.1,100,150
19,dataset_name,RF,LCB,19,117.15670108795166,0.5265866679117961,0.5265866679117961,0.0,0.05,0.005,100,50
6,dataset_name,RF,LCB,6,872.5226790904999,0.5265866679117961,0.5265866679117961,0.0,0.05,0.005,100,50
8,dataset_name,RF,LCB,8,318.7866599559784,0.4877988076978195,0.4877988076978196,5.551115123125783e-17,0.5,0.001,100,120
