,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,n_iter,n_topics
11,dataset_name,RF,LCB,11,210.264443397522,7.356953012891076,7.356953012891077,8.881784197001252e-16,1.0,0.001,100,150
12,dataset_name,RF,LCB,12,160.0691900253296,7.134215402912855,7.134215402912855,0.0,1.0,0.001,100,120
13,dataset_name,RF,LCB,13,207.5538914203644,6.928613016653269,6.92861301665327,8.881784197001252e-16,0.1,0.001,100,150
9,dataset_name,RF,LCB,9,209.34752464294436,6.928613016653269,6.92861301665327,8.881784197001252e-16,0.1,0.001,100,150
29,dataset_name,RF,LCB,29,154.829735994339,6.69400069495349,6.69400069495349,0.0,0.1,0.001,100,120
22,dataset_name,RF,LCB,22,208.5058476924896,6.66239217467321,6.66239217467321,0.0,1.0,0.005,100,150
21,dataset_name,RF,LCB,21,156.7821135520935,6.356458849113786,6.356458849113786,0.0,0.01,0.001,100,120
17,dataset_name,RF,LCB,17,158.48399233818054,6.339726363581315,6.339726363581315,0.0,0.5,0.005,100,120
1,dataset_name,RF,LCB,1,207.81745314598083,6.118017965440269,6.118017965440269,0.0,0.1,0.005,100,150
14,dataset_name,RF,LCB,14,65.58235836029053,6.079536193925283,6.079536193925283,0.0,0.5,0.001,100,50
15,dataset_name,RF,LCB,15,64.63018035888672,5.9596964430461465,5.9596964430461465,0.0,0.1,0.001,100,50
6,dataset_name,RF,LCB,6,130.45189452171326,5.927611326054039,5.927611326054039,0.0,0.1,0.005,100,100
27,dataset_name,RF,LCB,27,128.50782799720764,5.846695022679572,5.846695022679572,0.0,0.05,0.005,100,100
19,dataset_name,RF,LCB,19,129.908536195755,5.721791183535909,5.721791183535909,0.0,0.5,0.01,100,100
10,dataset_name,RF,LCB,10,90.49677062034608,5.665022030608622,5.665022030608622,0.0,1.0,0.01,100,70
18,dataset_name,RF,LCB,18,64.08324790000916,5.620617864681892,5.620617864681892,0.0,0.01,0.001,100,50
28,dataset_name,RF,LCB,28,206.16521167755127,5.452698757383915,5.452698757383915,0.0,0.1,0.01,100,150
20,dataset_name,RF,LCB,20,128.47852897644043,5.344793271470146,5.344793271470146,0.0,0.05,0.01,100,100
3,dataset_name,RF,LCB,3,88.13019347190857,5.291900772927454,5.291900772927454,0.0,0.1,0.01,100,70
5,dataset_name,RF,LCB,5,128.738614320755,5.073891485931692,5.073891485931692,0.0,0.01,0.01,100,100
0,dataset_name,RF,LCB,0,88.12128829956055,3.4707604439961703,3.470760443996171,4.440892098500626e-16,0.1,0.05,100,70
4,dataset_name,RF,LCB,4,63.39494442939758,3.465184566692311,3.4651845666923107,4.440892098500626e-16,0.01,0.05,100,50
16,dataset_name,RF,LCB,16,159.3653802871704,3.4424897255127616,3.442489725512762,4.440892098500626e-16,1.0,0.05,100,120
25,dataset_name,RF,LCB,25,208.04719734191892,3.151712369139169,3.151712369139169,0.0,1.0,0.05,100,150
23,dataset_name,RF,LCB,23,126.65377473831175,3.0684275220067256,3.0684275220067256,0.0,0.05,0.05,100,100
7,dataset_name,RF,LCB,7,62.90909957885742,2.646853298796547,2.646853298796547,0.0,0.1,0.1,100,50
26,dataset_name,RF,LCB,26,126.27535462379456,1.8415485465362864,1.8415485465362864,0.0,0.1,0.1,100,100
2,dataset_name,RF,LCB,2,207.1552393436432,1.652014040701086,1.652014040701086,0.0,1.0,0.1,100,150
8,dataset_name,RF,LCB,8,154.69602704048157,1.6022237247016635,1.6022237247016633,2.220446049250313e-16,0.1,0.1,100,120
24,dataset_name,RF,LCB,24,155.3325321674347,1.6022237247016635,1.6022237247016633,2.220446049250313e-16,0.1,0.1,100,120
