,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,max_iters,num_topics
29,dataset_name,RF,LCB,29,99.67848014831544,0.6088742217979907,0.5987217769568963,0.0189393918488422,0.5,0.1,100,50
13,dataset_name,RF,LCB,13,135.72770237922668,0.6059567877719148,0.6069024442716676,0.0090464235699741,1.0,0.05,100,100
8,dataset_name,RF,LCB,8,136.53535175323486,0.6000147410885857,0.5937240453860634,0.014164372312059,0.1,0.1,100,120
20,dataset_name,RF,LCB,20,110.64330959320068,0.5990504557095709,0.6038387481471463,0.0110351548513872,0.1,0.05,100,70
0,dataset_name,RF,LCB,0,111.49010610580444,0.5986042528508055,0.5978970763639921,0.007745651683483,0.1,0.05,100,70
23,dataset_name,RF,LCB,23,124.29233241081238,0.5964746548584401,0.5958598709809547,0.0100797681108161,0.05,0.05,100,100
18,dataset_name,RF,LCB,18,147.6678454875946,0.5951288876867793,0.5938553577849109,0.0086880080504222,0.01,0.05,100,150
12,dataset_name,RF,LCB,12,171.57321977615356,0.5950809936714176,0.5976684754589092,0.0163128561331845,1.0,0.05,100,70
14,dataset_name,RF,LCB,14,148.75186038017273,0.5885384147782792,0.5897493467558845,0.0047467584189337,1.0,0.05,100,150
25,dataset_name,RF,LCB,25,151.34493470191956,0.5871802911891189,0.5920065685999483,0.0132339413815827,1.0,0.05,100,150
24,dataset_name,RF,LCB,24,115.7416923046112,0.5869930940291107,0.5845677748389118,0.0108007161279934,0.1,0.1,100,120
21,dataset_name,RF,LCB,21,123.62337946891785,0.5856859768559963,0.5879423212220545,0.007227341991191,0.1,0.05,100,100
9,dataset_name,RF,LCB,9,100.6157774925232,0.5830929416411708,0.5864907720005977,0.0160650202850998,0.1,0.1,100,70
4,dataset_name,RF,LCB,4,94.37745141983032,0.5826426168463419,0.5808568557502658,0.0075562612027795,0.01,0.05,100,50
10,dataset_name,RF,LCB,10,128.01576900482178,0.5818378136280041,0.5800647064751132,0.0112626178547316,1.0,0.01,100,70
28,dataset_name,RF,LCB,28,130.78867626190186,0.5808193660957524,0.5838222494281361,0.012450847890481,0.01,0.05,100,100
3,dataset_name,RF,LCB,3,208.2912049293518,0.5770801686972626,0.5756014905890685,0.0080408694822685,0.1,0.01,100,70
5,dataset_name,RF,LCB,5,147.5524640083313,0.5760456892885457,0.5767939437253788,0.0114547809682998,0.01,0.01,100,100
26,dataset_name,RF,LCB,26,110.4892282485962,0.5757796472630347,0.5815202817740376,0.0172791619553362,0.1,0.1,100,100
7,dataset_name,RF,LCB,7,91.6631953716278,0.5745149944502347,0.5730120090323076,0.0147671072254207,0.1,0.1,100,50
2,dataset_name,RF,LCB,2,204.7281858921051,0.5731647585747709,0.5752591521369128,0.0091101133169498,1.0,0.1,100,150
22,dataset_name,RF,LCB,22,123.37383270263672,0.5638139323804924,0.567260124607415,0.0099065912373798,0.1,0.1,100,150
6,dataset_name,RF,LCB,6,156.9116244316101,0.5579714616942177,0.5634232666969972,0.0112545003789832,0.1,0.005,100,100
1,dataset_name,RF,LCB,1,521.7498602867126,0.5511752975239456,0.5492126523650225,0.0072435691305141,0.1,0.005,100,150
19,dataset_name,RF,LCB,19,160.1077196598053,0.5503487341713922,0.5467624812189571,0.0080640009561473,0.5,0.005,100,100
27,dataset_name,RF,LCB,27,179.20599150657654,0.547275885957509,0.5485580642871926,0.0140236331286138,0.05,0.005,100,100
16,dataset_name,RF,LCB,16,130.2296769618988,0.5426518286825197,0.5404561195219679,0.0103541604352308,0.5,0.005,100,70
17,dataset_name,RF,LCB,17,179.99206137657166,0.4873209610499182,0.4898362766600537,0.0119195306929418,0.01,0.001,100,100
15,dataset_name,RF,LCB,15,140.92622756958008,0.484492392633332,0.4824409944675197,0.0039894958486283,0.01,0.001,100,70
11,dataset_name,RF,LCB,11,357.3475754261017,0.4781144139045053,0.4778701924714107,0.0058890750601182,1.0,0.001,100,150
