,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
5,dataset_name,RF,LCB,5,200.1782374,0.766078035,0.763592037,0.004200714,0.066051278,nndsvdar,30
8,dataset_name,RF,LCB,8,159.8822708,0.763265823,0.762140878,0.004195092,0.828366453,nndsvda,30
13,dataset_name,RF,LCB,13,23.31051803,0.760893029,0.760507391,0.000771276,0.00794859,nndsvdar,20
18,dataset_name,RF,LCB,18,25.38581181,0.759566681,0.761501334,0.003617378,0.108526349,nndsvdar,30
23,dataset_name,RF,LCB,23,29.50371814,0.759566681,0.757595251,0.007048879,0.114641183,nndsvdar,30
24,dataset_name,RF,LCB,24,17.24555898,0.758947738,0.758947738,0.0,0.079499732,nndsvdar,20
17,dataset_name,RF,LCB,17,26.07025027,0.757734833,0.758263247,0.004222007,0.083930105,nndsvdar,30
28,dataset_name,RF,LCB,28,27.46985769,0.755567987,0.759365301,0.005018107,0.144101513,nndsvdar,30
16,dataset_name,RF,LCB,16,54.8440876,0.752722076,0.753390891,0.003587784,0.013605733,nndsvdar,30
27,dataset_name,RF,LCB,27,26.49823475,0.751001871,0.754931306,0.006892297,0.230056196,nndsvdar,30
9,dataset_name,RF,LCB,9,201.1719525,0.736527069,0.736014085,0.002413582,0.407203842,nndsvda,40
19,dataset_name,RF,LCB,19,32.42862606,0.730259878,0.730399176,0.003941435,1.549150932,nndsvdar,30
20,dataset_name,RF,LCB,20,30.36645627,0.717265301,0.715394141,0.011613777,1.591338317,nndsvdar,30
22,dataset_name,RF,LCB,22,30.67401385,0.713631777,0.715201088,0.00379633,1.660646377,nndsvdar,30
6,dataset_name,RF,LCB,6,382.6639752,0.713071687,0.709247436,0.006371468,0.467077013,nndsvd,60
7,dataset_name,RF,LCB,7,413.3056109,0.710719392,0.713247443,0.00517232,1.461980651,nndsvda,90
0,dataset_name,RF,LCB,0,466.3344924,0.710304332,0.712418323,0.004646282,1.458141969,nndsvda,100
11,dataset_name,RF,LCB,11,460.0808949,0.707221895,0.709198537,0.005809662,1.335409449,nndsvd,80
10,dataset_name,RF,LCB,10,1355.956459,0.706040709,0.702911762,0.010090552,1.135539585,nndsvd,90
26,dataset_name,RF,LCB,26,51.93812251,0.705394016,0.70800776,0.006527412,0.075657919,nndsvdar,60
29,dataset_name,RF,LCB,29,29.99681759,0.705241105,0.705227908,0.008947616,1.684319211,nndsvda,30
21,dataset_name,RF,LCB,21,78.56817102,0.69403863,0.69744587,0.007965053,0.062758129,nndsvdar,70
12,dataset_name,RF,LCB,12,109.8166637,0.675471466,0.674103362,0.004410423,0.12028954,nndsvdar,90
25,dataset_name,RF,LCB,25,358.8031583,0.673743325,0.678419137,0.010488594,0.087037326,nndsvdar,90
4,dataset_name,RF,LCB,4,306.7912433,0.673338289,0.672892607,0.008646397,1.706073651,nndsvd,40
15,dataset_name,RF,LCB,15,223.1706223,0.663846671,0.663769394,0.002503588,0.122402262,nndsvdar,100
14,dataset_name,RF,LCB,14,203.8103111,0.663315952,0.662904034,0.002882689,0.126700269,nndsvdar,100
1,dataset_name,RF,LCB,1,587.890687,0.660615898,0.65787234,0.010117775,1.778533855,nndsvda,90
3,dataset_name,RF,LCB,3,173.1585689,0.620247837,0.615284508,0.00828376,1.854212476,nndsvdar,50
2,dataset_name,RF,LCB,2,403.118542,0.612090934,0.61319313,0.003219493,2.636989709,nndsvdar,90
