,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
15,dataset_name,RF,LCB,15,52.7907931804657,0.7472019020989391,0.7450656291252977,0.0049177159062316,0.0,nndsvda,50
11,dataset_name,RF,LCB,11,53.70220971107483,0.7459477464580211,0.7467190222222946,0.0050259825820762,0.0,nndsvdar,50
27,dataset_name,RF,LCB,27,58.16760540008545,0.7433238323880238,0.7423143243844954,0.0019374982830195,1.0,nndsvd,50
13,dataset_name,RF,LCB,13,57.855265617370605,0.7431030104136362,0.7389491733318613,0.0085791936534899,1.0,nndsvda,50
14,dataset_name,RF,LCB,14,54.73143029212952,0.7429036387250517,0.7415335691096112,0.0047587388366204,1.0,nndsvdar,50
16,dataset_name,RF,LCB,16,54.7137656211853,0.7421671968903837,0.7442561845346912,0.0042075752578857,0.25,nndsvda,50
17,dataset_name,RF,LCB,17,55.3260715007782,0.7396376925714795,0.7388471856026115,0.0066272444847491,0.25,nndsvd,50
28,dataset_name,RF,LCB,28,52.34840607643128,0.7392399079683857,0.7403186825904036,0.0030401686060919,0.75,nndsvda,50
10,dataset_name,RF,LCB,10,80.01725482940674,0.7359612311194397,0.7330602353461323,0.0064041671998593,0.25,nndsvda,70
7,dataset_name,RF,LCB,7,74.11108994483948,0.7344074505029002,0.7334802992898641,0.001454049540872,0.75,nndsvdar,70
20,dataset_name,RF,LCB,20,51.03319478034973,0.7343441372097901,0.7333230783011275,0.0104076888756013,0.25,nndsvdar,50
24,dataset_name,RF,LCB,24,76.36983466148376,0.7331566730149884,0.7322492172645723,0.0072624125664505,0.5,nndsvdar,70
4,dataset_name,RF,LCB,4,73.17707180976868,0.7279896767398244,0.7328464490848884,0.0071499726249461,0.5,nndsvdar,70
1,dataset_name,RF,LCB,1,79.63643789291382,0.726984686060789,0.7280597977556269,0.0055057793981274,1.0,nndsvd,70
8,dataset_name,RF,LCB,8,78.96393847465515,0.7263211925808065,0.7293599431427386,0.0056448191046841,0.5,nndsvda,70
6,dataset_name,RF,LCB,6,88.3302891254425,0.7259929537783173,0.7264579296367837,0.0026838255476419,1.0,nndsvdar,70
21,dataset_name,RF,LCB,21,86.92408752441406,0.7259929435791822,0.7282844316562456,0.0053559708120848,1.0,nndsvd,70
22,dataset_name,RF,LCB,22,84.55000710487366,0.7259376662310917,0.7248224190732703,0.0034365304159138,1.0,nndsvdar,70
26,dataset_name,RF,LCB,26,119.7768018245697,0.7253956406946344,0.7246478423422382,0.0026737914658203,0.75,nndsvdar,100
23,dataset_name,RF,LCB,23,151.9367482662201,0.7121485552271309,0.7143599341569911,0.003656829212112,0.0,nndsvd,100
2,dataset_name,RF,LCB,2,170.79970264434814,0.702031234889757,0.6995654466389215,0.0069948227769253,0.25,nndsvda,120
19,dataset_name,RF,LCB,19,181.31756567955017,0.6997634410379703,0.6998305520437974,0.0047265718759426,0.25,nndsvda,120
3,dataset_name,RF,LCB,3,229.3697633743286,0.6989122663636306,0.6993388826771951,0.0024866864893847,0.0,nndsvdar,120
29,dataset_name,RF,LCB,29,354.6408269405365,0.6988315076626431,0.6985666660618641,0.004460077673902,1.0,nndsvd,150
5,dataset_name,RF,LCB,5,225.90205645561215,0.6984656702018472,0.6971123548221314,0.0049673963507992,0.25,nndsvd,120
18,dataset_name,RF,LCB,18,321.6070628166199,0.6830148642273489,0.6808472813665273,0.0044157261690013,0.25,nndsvd,150
25,dataset_name,RF,LCB,25,325.23394680023193,0.6804777479656667,0.6785968739334095,0.0046001020751661,0.5,nndsvd,150
12,dataset_name,RF,LCB,12,346.10202860832214,0.6793264898031361,0.6807058881026877,0.0024256503137621,0.0,nndsvdar,150
0,dataset_name,RF,LCB,0,236.7826008796692,0.6755747205555224,0.6778917465455165,0.0043337230623886,0.5,nndsvda,150
9,dataset_name,RF,LCB,9,284.53201961517334,0.6752621999203409,0.6756209820377685,0.0029581156910584,0.25,nndsvda,150
