,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,n_iter,n_topics
8,20NewsGroup,RF,LCB,8,69.86159467697144,0.6305746348631394,0.6256895596762909,0.0141219647250014,0.1,0.1,100,20
7,20NewsGroup,RF,LCB,7,71.01293325424194,0.6234952264611313,0.6271518233740959,0.005760698938104,0.1,0.1,100,20
24,20NewsGroup,RF,LCB,24,420.3957448005676,0.6231679051393583,0.6223980556650782,0.0026748385850842,0.05,0.001,100,20
0,20NewsGroup,RF,LCB,0,144.91467809677124,0.6231117557196342,0.6195853013618552,0.0058335229500794,0.1,0.05,100,50
13,20NewsGroup,RF,LCB,13,70.58449840545654,0.6224691230304613,0.6199451482485434,0.0068641976966708,0.1,0.05,100,20
3,20NewsGroup,RF,LCB,3,71.91880059242249,0.6204339469530312,0.6209183642835011,0.0062679790622299,0.1,0.01,100,20
12,20NewsGroup,RF,LCB,12,196.8908889293671,0.617026470235109,0.6150809307951887,0.006153098047323,0.1,0.1,100,70
19,20NewsGroup,RF,LCB,19,142.93411087989807,0.6155498845977271,0.6165072366395681,0.0034755361325393,0.1,0.05,100,50
11,20NewsGroup,RF,LCB,11,67.08460283279419,0.6134953300748809,0.6117432020166632,0.0068707207002279,0.01,0.005,100,20
17,20NewsGroup,RF,LCB,17,141.14634323120117,0.6134600803760069,0.612291559075761,0.0129042059894525,0.05,0.005,100,50
14,20NewsGroup,RF,LCB,14,71.74077153205872,0.6127303229231317,0.6132385672946942,0.005941394610285,0.1,0.005,100,20
23,20NewsGroup,RF,LCB,23,733.497652053833,0.612344484028585,0.6107579308293294,0.0042128426156305,0.1,0.05,100,70
28,20NewsGroup,RF,LCB,28,78.71141195297241,0.6094668847117303,0.6124214455941904,0.0062628644834418,1.0,0.1,100,20
15,20NewsGroup,RF,LCB,15,141.1557538509369,0.6091695317000503,0.6113991797146218,0.0046052001950226,0.05,0.01,100,50
25,20NewsGroup,RF,LCB,25,306.6460645198822,0.606987344464268,0.606919999437261,0.0068956261500253,0.5,0.001,100,20
16,20NewsGroup,RF,LCB,16,219.60489130020144,0.6049235139345327,0.6056491842701917,0.0049024126217504,0.5,0.05,100,70
29,20NewsGroup,RF,LCB,29,145.99756574630737,0.6042091597821924,0.6040524611011813,0.0051651558526992,0.05,0.005,100,50
6,20NewsGroup,RF,LCB,6,202.64121961593628,0.6036436398952344,0.6014484136210616,0.0052734351273058,0.1,0.005,100,70
5,20NewsGroup,RF,LCB,5,132.15121054649353,0.6012023222853917,0.5998225416137364,0.0084801659662622,0.01,0.01,100,50
22,20NewsGroup,RF,LCB,22,542.5032060146332,0.5998507472902596,0.5996394568013336,0.0039007312591214,0.1,0.1,100,100
9,20NewsGroup,RF,LCB,9,127.54915046691896,0.5981655979013035,0.6010689722901572,0.0077960090834788,0.01,0.1,100,50
20,20NewsGroup,RF,LCB,20,320.6964194774628,0.5979761693156964,0.5981483150980443,0.0022862625168676,0.5,0.1,100,100
18,20NewsGroup,RF,LCB,18,133.29903864860535,0.5942411437421821,0.5961184660432641,0.0051926325777829,0.01,0.001,100,50
2,20NewsGroup,RF,LCB,2,340.9156537055969,0.5938020833610285,0.5944696589338507,0.0014068074800813,1.0,0.1,100,100
27,20NewsGroup,RF,LCB,27,1258.1800065040588,0.5880022046310134,0.5884808216049191,0.0054554374721233,1.0,0.05,100,100
26,20NewsGroup,RF,LCB,26,628.7572455406189,0.5862371366790358,0.5862736884838056,0.0051306221194072,0.1,0.01,100,100
4,20NewsGroup,RF,LCB,4,66.85221838951111,0.5860346934750527,0.5817401538713793,0.0100702892280176,0.01,0.05,100,20
1,20NewsGroup,RF,LCB,1,289.3208031654358,0.5859161594879816,0.5837340646540973,0.0061795931539505,0.1,0.005,100,100
21,20NewsGroup,RF,LCB,21,1211.768504858017,0.5817299490721866,0.5825756155633754,0.0016455933306013,0.05,0.005,100,100
10,20NewsGroup,RF,LCB,10,240.1646828651428,0.5678855698937926,0.5670818361518608,0.0043120120016083,1.0,0.001,100,70
