,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,max_iters,num_topics
4,20NewsGroup,RF,LCB,4,21.13015627861023,0.6495447969185253,0.642410237466865,0.0190976749757671,0.01,0.05,100,20
8,20NewsGroup,RF,LCB,8,20.79977226257324,0.6379905131856879,0.6350785994330383,0.0068429141171282,0.1,0.1,100,20
28,20NewsGroup,RF,LCB,28,314.6000916957855,0.6335207049391725,0.6404051737086132,0.0115577256845777,1.0,0.05,100,20
6,20NewsGroup,RF,LCB,6,23.14900517463684,0.632578600880471,0.6342681471523159,0.008584596775058,0.05,0.005,100,20
7,20NewsGroup,RF,LCB,7,21.302091121673584,0.6324650588570293,0.6351822301745799,0.0052898501433654,0.5,0.1,100,20
13,20NewsGroup,RF,LCB,13,21.99545216560364,0.6314358251322449,0.6293813757928819,0.0047728464763687,1.0,0.1,100,20
9,20NewsGroup,RF,LCB,9,19.899766206741333,0.6308844877530193,0.6308701400696479,0.0119220226608646,0.01,0.1,100,20
17,20NewsGroup,RF,LCB,17,23.089852571487427,0.6284117169539873,0.6341447241104359,0.0120051992340018,1.0,0.05,100,20
19,20NewsGroup,RF,LCB,19,22.18313050270081,0.6262236920156015,0.6311719499396788,0.0169975774476614,0.05,0.005,100,20
20,20NewsGroup,RF,LCB,20,41.75013279914856,0.6246064806270375,0.6211002320538435,0.0057843255846812,0.1,0.1,100,50
25,20NewsGroup,RF,LCB,25,23.70113158226013,0.6229658293146253,0.625416878526305,0.0092864485692781,1.0,0.005,100,20
21,20NewsGroup,RF,LCB,21,43.85008931159973,0.6219834871534747,0.6197660256137579,0.009418068485836,0.1,0.05,100,50
15,20NewsGroup,RF,LCB,15,22.454297065734863,0.6216643384357357,0.6222363997140867,0.0051490256551812,0.01,0.001,100,20
14,20NewsGroup,RF,LCB,14,45.863577127456665,0.6199762254130237,0.621014467381097,0.0080964719859851,1.0,0.1,100,50
0,20NewsGroup,RF,LCB,0,158.94191455841064,0.6180678441484966,0.617086896314655,0.0067733003943991,0.1,0.05,100,50
3,20NewsGroup,RF,LCB,3,21.52156162261963,0.6170019273496631,0.6193796734274288,0.0045104591608944,0.1,0.01,100,20
10,20NewsGroup,RF,LCB,10,21.64698076248169,0.6168299248018319,0.6189674980598049,0.0056270397888019,0.1,0.001,100,20
5,20NewsGroup,RF,LCB,5,44.48059272766113,0.6148761241884986,0.6133928241041481,0.0090306939678178,0.01,0.01,100,50
12,20NewsGroup,RF,LCB,12,55.01887226104736,0.6029266489394228,0.6040027723344057,0.0028739812725765,0.01,0.1,100,70
23,20NewsGroup,RF,LCB,23,212.92316198349,0.6002157173929504,0.5980731888320724,0.0088537619363741,0.05,0.01,100,70
27,20NewsGroup,RF,LCB,27,699.3027763366699,0.5997365714791562,0.5993137661811788,0.0086688542525376,0.1,0.01,100,70
16,20NewsGroup,RF,LCB,16,66.26675987243652,0.5949243614642806,0.5962174772642987,0.008682847743469,0.01,0.005,100,70
22,20NewsGroup,RF,LCB,22,207.8534004688263,0.5867264713153767,0.5889210142420029,0.0062898775241655,1.0,0.05,100,100
24,20NewsGroup,RF,LCB,24,82.09931468963623,0.5863872101889928,0.5859733017592954,0.0095405557428273,0.5,0.005,100,70
2,20NewsGroup,RF,LCB,2,95.24389266967772,0.5862357696530934,0.5865088313315381,0.0025857886673015,1.0,0.1,100,100
29,20NewsGroup,RF,LCB,29,993.476794719696,0.5856226451213548,0.5866397937522384,0.00405990802005,0.1,0.01,100,100
26,20NewsGroup,RF,LCB,26,730.1593835353851,0.5734424053537486,0.574651378097719,0.0050286589966773,0.05,0.001,100,100
18,20NewsGroup,RF,LCB,18,111.77584266662598,0.5731980559535849,0.5757412221202596,0.0055070071166769,1.0,0.01,100,100
1,20NewsGroup,RF,LCB,1,193.9340569972992,0.570210170090278,0.5714540658463789,0.0040424445760253,0.1,0.005,100,100
11,20NewsGroup,RF,LCB,11,149.15360140800476,0.544679542981112,0.5411950444652381,0.0062170483806516,1.0,0.001,100,100
