,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
15,20NewsGroup,RF,LCB,15,23.9507577419281,0.6511686952151056,0.6510107323073493,0.0025758238691707,0.75,nndsvda,20
4,20NewsGroup,RF,LCB,4,26.71778440475464,0.6484022770334595,0.6435798394215093,0.0107138406846715,0.5,nndsvda,20
24,20NewsGroup,RF,LCB,24,25.56494951248169,0.6461046706083617,0.6424808934113267,0.0117721912713712,0.25,nndsvda,20
13,20NewsGroup,RF,LCB,13,25.29146909713745,0.6449374439079972,0.6423774953345512,0.0085030623174533,0.0,nndsvda,20
22,20NewsGroup,RF,LCB,22,23.49409866333008,0.6417294787732558,0.6403091159200545,0.0107772602658494,0.5,nndsvdar,20
18,20NewsGroup,RF,LCB,18,26.15170168876648,0.6415048296456469,0.6369242691580437,0.0064870763129769,1.0,nndsvda,20
11,20NewsGroup,RF,LCB,11,26.134669542312626,0.6407421530056294,0.6382987616589337,0.0066827137103023,0.0,nndsvdar,20
23,20NewsGroup,RF,LCB,23,26.24144077301025,0.6400375370536516,0.6386827752868989,0.0105945168006787,0.75,nndsvdar,20
17,20NewsGroup,RF,LCB,17,25.47877192497253,0.6363655503919543,0.6386179645948198,0.0102795774732364,0.25,nndsvda,20
27,20NewsGroup,RF,LCB,27,26.66834783554077,0.6290464819339571,0.627871433907601,0.0030325681941414,0.0,nndsvdar,20
5,20NewsGroup,RF,LCB,5,27.370519638061523,0.6245495622980373,0.631559832243066,0.0114077939162785,0.0,nndsvdar,20
3,20NewsGroup,RF,LCB,3,66.18160724639893,0.6057324367165474,0.6023418084483855,0.0059975070560917,0.75,nndsvdar,50
28,20NewsGroup,RF,LCB,28,64.03009057044983,0.600320485665498,0.5994991072076112,0.0023380248099879,0.25,nndsvdar,50
7,20NewsGroup,RF,LCB,7,60.564531326293945,0.5982488739612275,0.6009276113814485,0.0089475222839713,0.5,nndsvda,50
21,20NewsGroup,RF,LCB,21,60.48601245880127,0.5963447202050963,0.5967549491553417,0.0044930054163909,0.25,nndsvda,50
20,20NewsGroup,RF,LCB,20,61.19230508804321,0.5950132653592051,0.5967520907871293,0.0070048505697162,0.5,nndsvda,50
6,20NewsGroup,RF,LCB,6,69.17110013961792,0.5922307831738908,0.5942865343778279,0.0052425563567104,0.0,nndsvda,50
26,20NewsGroup,RF,LCB,26,94.97966885566711,0.5875584215016874,0.5840989714896277,0.0074952930754238,0.5,nndsvdar,70
14,20NewsGroup,RF,LCB,14,96.88085865974426,0.5850726452438023,0.5847726289794692,0.0034344971053355,1.0,nndsvdar,70
12,20NewsGroup,RF,LCB,12,92.06587815284728,0.58462425812141,0.5856825691936574,0.003543419166403,0.5,nndsvdar,70
10,20NewsGroup,RF,LCB,10,88.551748752594,0.5843409593918977,0.5849264042079969,0.0041907381618285,0.5,nndsvda,70
2,20NewsGroup,RF,LCB,2,142.04065775871277,0.5599329102054542,0.5603731012386309,0.0010674998065206,1.0,nndsvdar,100
16,20NewsGroup,RF,LCB,16,149.23282098770142,0.5581227369465039,0.5584248441682865,0.0017678558751083,0.75,nndsvdar,100
1,20NewsGroup,RF,LCB,1,140.39512515068054,0.5572120749378566,0.5557709730572051,0.0058147970922652,0.5,nndsvda,100
29,20NewsGroup,RF,LCB,29,171.5327024459839,0.5564031047185342,0.5564334923087315,0.0024313659534767,0.0,nndsvda,100
19,20NewsGroup,RF,LCB,19,127.38888549804688,0.5562090878981342,0.554808778411216,0.0022958826292187,1.0,nndsvda,100
0,20NewsGroup,RF,LCB,0,148.91433954238892,0.5550053939749953,0.554947375286684,0.0042948473215802,0.5,nndsvdar,100
25,20NewsGroup,RF,LCB,25,140.96443510055542,0.5537985508532502,0.5521489657002785,0.0034030601430283,0.25,nndsvda,100
9,20NewsGroup,RF,LCB,9,144.78591680526733,0.5514751585227766,0.5532192913990833,0.0036853191467878,0.25,nndsvda,100
8,20NewsGroup,RF,LCB,8,138.82467484474182,0.5511612089911233,0.5532432913809949,0.0065311170741981,0.75,nndsvda,100
