,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,n_iter,n_topics
8,BBC_News,RF,LCB,8,63.84993743896485,0.6265124173393947,0.6277762680661995,0.0050414790280172,0.1,0.1,100,20
4,BBC_News,RF,LCB,4,62.52886343002319,0.6203660163184811,0.6016735964796729,0.0246733131630387,0.01,0.05,100,20
7,BBC_News,RF,LCB,7,63.99140119552612,0.6201440454363812,0.6170405341145695,0.012029080232101,0.1,0.1,100,20
0,BBC_News,RF,LCB,0,132.91158294677734,0.6147025267230171,0.6076469993327928,0.014032726124166,0.1,0.05,100,50
9,BBC_News,RF,LCB,9,126.00426840782166,0.6034517773121056,0.6032590117644976,0.0068291963110383,0.01,0.1,100,50
3,BBC_News,RF,LCB,3,65.32255792617798,0.5981038742253737,0.5935626303916655,0.0120905578041265,0.1,0.01,100,20
13,BBC_News,RF,LCB,13,67.41817212104797,0.5972735391854437,0.6014826531106227,0.013151332991748,1.0,0.1,100,20
18,BBC_News,RF,LCB,18,186.73224544525144,0.5949803702242716,0.5941687295224376,0.0086119841015006,0.1,0.1,100,70
23,BBC_News,RF,LCB,23,182.19842100143435,0.5928402442027735,0.596148651069182,0.00826690487181,0.05,0.1,100,70
11,BBC_News,RF,LCB,11,64.80519509315491,0.5830607651901535,0.5820855069826678,0.0167038012242919,0.01,0.005,100,20
22,BBC_News,RF,LCB,22,131.88572931289673,0.5813612020850808,0.5792700398378979,0.0040177580915236,0.01,0.01,100,50
21,BBC_News,RF,LCB,21,184.3166644573212,0.5808545469631363,0.5817228919014588,0.0075929545547019,0.05,0.05,100,70
27,BBC_News,RF,LCB,27,248.1381204128265,0.5760984846450953,0.5793654424125069,0.0113238814827679,0.01,0.1,100,100
5,BBC_News,RF,LCB,5,128.91031074523926,0.575349924537677,0.5753821556584293,0.0075730559886968,0.01,0.01,100,50
29,BBC_News,RF,LCB,29,206.2437379360199,0.5722167919748079,0.5716137375557,0.0071076674880121,1.0,0.1,100,70
15,BBC_News,RF,LCB,15,67.93859910964966,0.5704902669773124,0.5699881005660169,0.0055206019096845,0.1,0.001,100,20
20,BBC_News,RF,LCB,20,190.3595464229584,0.5684359514064373,0.5688458151715238,0.0021859078668485,0.05,0.01,100,70
28,BBC_News,RF,LCB,28,68.11350440979004,0.5681207973983403,0.5670769033168513,0.0149527698685309,0.1,0.001,100,20
24,BBC_News,RF,LCB,24,66.89172768592834,0.5674114763464998,0.5696274859868876,0.0096085377180913,0.05,0.001,100,20
19,BBC_News,RF,LCB,19,146.93943095207214,0.5591080492718281,0.5570355354590447,0.006134878149449,0.5,0.01,100,50
2,BBC_News,RF,LCB,2,298.287477016449,0.5579271338044841,0.5583202327016807,0.0043626191089654,1.0,0.1,100,100
16,BBC_News,RF,LCB,16,307.2682635784149,0.5560655590719716,0.5593390312195661,0.0053967535702254,1.0,0.05,100,100
6,BBC_News,RF,LCB,6,193.05954670906067,0.5520566612392624,0.5517608090100264,0.009423266536659,0.1,0.005,100,70
14,BBC_News,RF,LCB,14,68.74606084823608,0.552023894547257,0.551513632941346,0.0052909706094814,0.5,0.001,100,20
12,BBC_News,RF,LCB,12,70.22815775871277,0.5399677629603613,0.5396012816224063,0.0107780380652969,1.0,0.001,100,20
1,BBC_News,RF,LCB,1,277.28850507736206,0.536325324360122,0.5351611806366232,0.0045608214604178,0.1,0.005,100,100
17,BBC_News,RF,LCB,17,210.13891458511355,0.5337439857708329,0.5336466757809281,0.0048045151545059,0.5,0.005,100,70
26,BBC_News,RF,LCB,26,156.21862959861755,0.531650660125557,0.531333536201109,0.003222698003369,1.0,0.005,100,50
25,BBC_News,RF,LCB,25,198.6949636936188,0.5160811597103347,0.5206971900833895,0.0089803275212334,0.1,0.001,100,70
10,BBC_News,RF,LCB,10,224.1106109619141,0.4892887246756354,0.4881600839750898,0.0030750004532259,1.0,0.001,100,70
