,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,max_iters,num_topics
16,BBC_News,RF,LCB,16,22.17123317718506,0.6302462631142779,0.6245812542678855,0.0211495946226771,1.0,0.1,100,20
29,BBC_News,RF,LCB,29,21.888939142227173,0.6302210278128794,0.6295941509148262,0.0089563297624089,0.5,0.1,100,20
7,BBC_News,RF,LCB,7,22.170827865600582,0.6239102894930146,0.6253529775483706,0.013001114813164,0.1,0.1,100,20
8,BBC_News,RF,LCB,8,21.8825044631958,0.6217403834543669,0.6292125542246743,0.0186551723510756,0.1,0.1,100,20
11,BBC_News,RF,LCB,11,22.16724133491516,0.617010372514092,0.620871133710686,0.0134781861483686,0.05,0.1,100,20
4,BBC_News,RF,LCB,4,22.52410340309143,0.6131530977786321,0.60945474702584,0.015546171812794,0.01,0.05,100,20
9,BBC_News,RF,LCB,9,41.47553372383118,0.5991524694048447,0.5964981776015914,0.0093073344608235,0.01,0.1,100,50
14,BBC_News,RF,LCB,14,42.89190483093262,0.5958957512637675,0.5905141504136959,0.0121694199116693,0.1,0.1,100,50
12,BBC_News,RF,LCB,12,23.870614051818848,0.5925246561249408,0.5933583053542014,0.0068876749010144,0.01,0.01,100,20
0,BBC_News,RF,LCB,0,44.497305393218994,0.590814325324339,0.5930165286220996,0.0072982588785889,0.1,0.05,100,50
26,BBC_News,RF,LCB,26,43.82347869873047,0.586911122468259,0.5910993975321819,0.016948630003607,0.1,0.1,100,50
20,BBC_News,RF,LCB,20,45.67377543449402,0.5857489226051533,0.5824677159868193,0.0063474703699542,0.1,0.05,100,50
21,BBC_News,RF,LCB,21,60.65293741226196,0.5806026569498765,0.5801996192308058,0.0029232126377561,0.1,0.05,100,70
3,BBC_News,RF,LCB,3,24.040719270706177,0.5789568121595201,0.5798110698327351,0.0142024224266983,0.1,0.01,100,20
23,BBC_News,RF,LCB,23,57.15343260765076,0.5772445001645671,0.5760713380589955,0.0105297774331929,0.05,0.05,100,70
15,BBC_News,RF,LCB,15,59.57869100570679,0.5740560340902245,0.575100493798636,0.0125097817921701,1.0,0.1,100,70
24,BBC_News,RF,LCB,24,56.67916941642761,0.5740345323781754,0.5739423284529078,0.005483230705559,0.1,0.1,100,70
17,BBC_News,RF,LCB,17,50.5245349407196,0.568340737320546,0.5701617520768527,0.0061514901697333,0.1,0.01,100,50
5,BBC_News,RF,LCB,5,49.75460767745972,0.5616177500990489,0.5625803197224137,0.0055988394163439,0.01,0.01,100,50
6,BBC_News,RF,LCB,6,24.41264533996582,0.5599852292476346,0.5668836755413521,0.0184951106209762,0.05,0.005,100,20
25,BBC_News,RF,LCB,25,87.62046933174133,0.5582509705392131,0.5618442880918484,0.0072040946001157,1.0,0.05,100,100
18,BBC_News,RF,LCB,18,68.57825088500977,0.5563874389018849,0.5574648124532272,0.008547471133568,0.1,0.01,100,70
22,BBC_News,RF,LCB,22,78.01575756072998,0.5498666763382676,0.5531869702428469,0.0064523182674461,0.1,0.1,100,100
2,BBC_News,RF,LCB,2,82.99264907836914,0.5491115848376108,0.5550219814638722,0.0119510274971901,1.0,0.1,100,100
19,BBC_News,RF,LCB,19,53.90810298919678,0.5429154822770014,0.5423063540205747,0.0026102964465141,0.5,0.005,100,50
13,BBC_News,RF,LCB,13,26.244545698165894,0.5409280520625576,0.5343559027276116,0.0103450090982181,0.5,0.001,100,20
27,BBC_News,RF,LCB,27,72.92972683906555,0.5370232654635019,0.5364591608423972,0.007107978270121,0.05,0.005,100,70
1,BBC_News,RF,LCB,1,98.55813241004944,0.529395327860429,0.5313935020283662,0.0067737587457531,0.1,0.005,100,100
28,BBC_News,RF,LCB,28,58.48167061805725,0.5086845072334267,0.5071142658346723,0.0096696259440097,0.5,0.001,100,50
10,BBC_News,RF,LCB,10,86.00347971916199,0.4844621872409882,0.4872117145000847,0.0095341297259691,1.0,0.001,100,70
