,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
25,BBC_News,RF,LCB,25,16.356541395187378,0.7573248106363205,0.7590269835597871,0.0055992370478429,0.0,nndsvdar,20
5,BBC_News,RF,LCB,5,16.214010000228882,0.7573248106363204,0.7591136590191355,0.0042446263306959,0.0,nndsvdar,20
10,BBC_News,RF,LCB,10,17.096864461898804,0.7567612269036621,0.7589253365476518,0.0043282192879794,0.0,nndsvda,20
9,BBC_News,RF,LCB,9,17.571836471557617,0.7567612269036621,0.7574440872687397,0.0011056879195291,0.0,nndsvda,20
6,BBC_News,RF,LCB,6,46.226710081100464,0.7074132336038166,0.7077922073452917,0.0046494124064929,0.0,nndsvda,50
27,BBC_News,RF,LCB,27,74.83107852935791,0.6786588184404496,0.6778284931263749,0.0018644578073962,0.0,nndsvdar,70
29,BBC_News,RF,LCB,29,80.31362986564636,0.6767503544147738,0.6788249207915245,0.0050884349364386,0.0,nndsvdar,70
26,BBC_News,RF,LCB,26,141.03000664711,0.6371342345165542,0.6387595069691955,0.0043843207241237,0.0,nndsvdar,100
23,BBC_News,RF,LCB,23,11.112515687942505,0.3334976737157256,0.3319735128487752,0.0029593188828688,0.75,nndsvda,100
18,BBC_News,RF,LCB,18,11.295842170715332,0.3332320324814797,0.3333137628074242,0.0021043786734101,0.75,nndsvda,100
28,BBC_News,RF,LCB,28,7.613002061843872,0.3329116835035312,0.331303191321277,0.0023109393586051,1.0,nndsvda,50
24,BBC_News,RF,LCB,24,11.279755115509031,0.3328578823557738,0.3321720553231659,0.0051671920337622,1.0,nndsvda,100
12,BBC_News,RF,LCB,12,9.118883848190308,0.3309089567823434,0.3312174276384743,0.001448764341922,1.0,nndsvda,70
1,BBC_News,RF,LCB,1,11.383238554000854,0.3308216205069794,0.329585767611891,0.0030625367981902,0.5,nndsvda,100
21,BBC_News,RF,LCB,21,10.9843852519989,0.3302839429451141,0.3295253575889567,0.0024514400554337,0.5,nndsvda,100
13,BBC_News,RF,LCB,13,5.689968347549439,0.3284173795705646,0.3272508282620345,0.0014287277323374,1.0,nndsvda,20
0,BBC_News,RF,LCB,0,11.472901105880736,0.3265050197626152,0.3259872266604582,0.0012514205483531,0.5,nndsvdar,100
11,BBC_News,RF,LCB,11,8.875139474868774,0.3262709824464325,0.3258225978128499,0.0021558760269933,0.75,nndsvdar,70
20,BBC_News,RF,LCB,20,8.86402177810669,0.3260970094321416,0.3260937513426707,0.0030122107836048,0.5,nndsvdar,70
16,BBC_News,RF,LCB,16,11.107317924499512,0.3258597823680392,0.3253514807999883,0.0014388886935096,0.25,nndsvdar,100
7,BBC_News,RF,LCB,7,5.666321516036987,0.3255010012992392,0.3255010012992392,0.0018444795712025,0.75,nndsvda,20
17,BBC_News,RF,LCB,17,11.156556129455566,0.3247303449907852,0.3242677517296154,0.0024287552234863,1.0,nndsvdar,100
15,BBC_News,RF,LCB,15,5.687760353088379,0.3236562161217479,0.3232185323757551,0.0020416594071021,1.0,nndsvdar,20
2,BBC_News,RF,LCB,2,11.277634143829346,0.3235651199489952,0.3240302733029784,0.0027209361891106,1.0,nndsvdar,100
22,BBC_News,RF,LCB,22,8.89864206314087,0.3232649045130754,0.3244581738197354,0.0033802360065134,0.25,nndsvdar,70
3,BBC_News,RF,LCB,3,7.588201999664307,0.3228553016591131,0.3231458811393933,0.0014860153873387,0.75,nndsvdar,50
19,BBC_News,RF,LCB,19,7.587448835372925,0.3226215823615208,0.3229569413368474,0.0024884666789328,0.25,nndsvdar,50
4,BBC_News,RF,LCB,4,5.665118932723999,0.3225846230279138,0.3255010012992392,0.0036889591424051,0.5,nndsvda,20
14,BBC_News,RF,LCB,14,8.89030408859253,0.3225220747502267,0.3233889135979477,0.0029383836143254,1.0,nndsvdar,70
8,BBC_News,RF,LCB,8,5.679776906967163,0.3207398378504225,0.3210310216669672,0.0016370964405243,0.25,nndsvdar,20
